t,l_0_0,l_0_1,l_0_2,l_1_0,l_1_1,l_1_2,l_2_0,l_2_1,l_2_2,l_3_0,l_3_1,l_3_2,l_4_0,l_4_1,l_4_2,l_dot_0_0,l_dot_0_1,l_dot_0_2,l_dot_1_0,l_dot_1_1,l_dot_1_2,l_dot_2_0,l_dot_2_1,l_dot_2_2,l_dot_3_0,l_dot_3_1,l_dot_3_2,l_dot_4_0,l_dot_4_1,l_dot_4_2
2.300000000000000100e-01,9.399704452485398154e-03,2.230544156389602933e-02,2.397318714056444547e-02,1.932377431987265110e-02,1.786815257525131012e-02,1.851732556165282956e-02,2.314612947715674260e-02,1.623433074763595135e-02,1.631929944518568237e-02,2.273025714090333438e-02,1.652723257807320323e-02,1.643923550099487402e-02,2.016299473328234462e-02,1.779683120282656711e-02,1.774698343699938896e-02,3.926740986028115499e-02,1.079562467272070225e-01,1.148938509802369806e-01,1.004758265022259733e-01,7.776543373002378634e-02,8.377731430529936074e-02,1.380315091335666544e-01,6.107979892840694619e-02,6.281729708137498425e-02,1.354834613783601205e-01,6.341669753772567752e-02,6.302724376062074363e-02,1.062977715670840456e-01,7.807320730123717967e-02,7.768766974456473018e-02
2.399999999999999911e-01,9.813935657434533222e-03,2.337608530788525679e-02,2.511372603926365771e-02,2.033428684055620800e-02,1.864540164120359264e-02,1.935362280750668046e-02,2.451627381877576062e-02,1.685278852910869485e-02,1.695420275442915264e-02,2.407121331149135804e-02,1.717071445781287453e-02,1.707845082718897553e-02,2.122067170598681066e-02,1.858235007535014374e-02,1.852856269419923124e-02,4.369374665245837064e-02,1.061226259712556991e-01,1.131711075490908491e-01,1.016017782658872048e-01,7.770904814417307904e-02,8.350045032496802855e-02,1.358440077721754791e-01,6.270265996744588122e-02,6.424839830405494612e-02,1.325392060844518827e-01,6.537630365760419004e-02,6.491167236165376608e-02,1.051710131566552658e-01,7.907404624832138629e-02,7.867169917530290879e-02
2.500000000000000000e-01,1.027444883501608952e-02,2.442745274488917692e-02,2.623619703079277041e-02,2.135519222949959495e-02,1.942265183565301118e-02,2.018759865841461554e-02,2.586122288807082489e-02,1.748931196072723432e-02,1.760514784575840930e-02,2.537920051976910729e-02,1.783569935948014357e-02,1.773840545133786167e-02,2.226565616962212016e-02,1.937868798242332533e-02,1.932079427199539373e-02,4.846099462700570459e-02,1.041299563571576464e-01,1.113064396992010513e-01,1.025587792445763202e-01,7.775959442425985080e-02,8.330937620507006258e-02,1.330584536175728749e-01,6.465483940382522887e-02,6.598998399369598866e-02,1.289659730394150383e-01,6.767488525844958525e-02,6.713264002129715191e-02,1.037903236251399436e-01,8.021823499057809115e-02,7.979923280174097688e-02
2.600000000000000089e-01,1.078375694758303485e-02,2.545833406459529352e-02,2.733952834088597406e-02,2.238475611128543097e-02,2.020089684888579096e-02,2.102008589256164003e-02,2.717578024340492823e-02,1.814669458650304198e-02,1.827479046698410325e-02,2.664885940813801340e-02,1.852501194477957844e-02,1.842192581070296181e-02,2.329577858629316295e-02,2.018700942833789869e-02,2.012485144280658916e-02,5.336757346333856344e-02,1.020582360405263289e-01,1.093696339556880226e-01,1.033240820426405554e-01,7.789833712094250406e-02,8.319763962129257673e-02,1.298380520114366110e-01,6.682317526514357231e-02,6.794098167530812638e-02,1.249608304387471031e-01,7.018436450473562738e-02,6.956848434203297127e-02,1.022311523287922630e-01,8.144182332930983981e-02,8.100805866905209929e-02
2.700000000000000178e-01,1.134211080639913050e-02,2.646842444845413228e-02,2.842343261716216360e-02,2.342101940413067809e-02,2.098091350416016534e-02,2.185183258988779645e-02,2.845663194553612815e-02,1.882644076025669772e-02,1.896462700037849017e-02,2.787709440263484717e-02,1.924002166356636803e-02,1.913044460506527558e-02,2.430973796027508307e-02,2.100775774957478609e-02,2.094120222490618646e-02,5.824265235850975553e-02,9.998082192419881220e-02,1.074283169895248052e-01,1.038908257121762407e-01,7.811118174763639899e-02,8.316075215775711738e-02,1.263337770156776341e-01,6.911276973445305838e-02,7.001614731370069122e-02,1.207024465866958773e-01,7.279737400847223483e-02,7.211697541914620369e-02,1.005649759681361277e-01,8.269411100030810147e-02,8.224891880945039979e-02
2.800000000000000266e-01,1.194801137758811499e-02,2.745818340688855122e-02,2.948825905065462563e-02,2.446221913329467770e-02,2.176318574035928863e-02,2.268338592189877295e-02,2.970249049291483201e-02,1.952882582185877861e-02,1.967501034134735288e-02,2.906307818557060316e-02,1.998076654133541449e-02,1.986409567170315665e-02,2.530712966704884784e-02,2.184076139475242886e-02,2.176970688472970247e-02,6.296623487376679096e-02,9.795224035573560362e-02,1.055385803718754678e-01,1.042636510504501152e-01,7.839013603372965711e-02,8.319698947381919119e-02,1.226623512462558796e-01,7.145760198511411088e-02,7.215580055202723553e-02,1.163284748295353860e-01,7.543827737516478615e-02,7.470528275956543618e-02,9.884960049134185189e-02,8.394176756289625785e-02,8.348928741191631586e-02
2.899999999999999800e-01,1.259947589220101333e-02,2.842833655237457513e-02,3.053476032423452224e-02,2.550643586035019825e-02,2.254836882580924656e-02,2.351549017515949455e-02,3.091210589198607056e-02,2.025418482849294238e-02,2.040639111503468259e-02,3.020615173903112155e-02,2.074727261830213929e-02,2.062303501459887556e-02,2.628767804886513945e-02,2.268587139225274746e-02,2.261026118216854716e-02,6.744819056191377060e-02,9.601469539790302710e-02,1.037409890637826793e-01,1.044531415310609862e-01,7.872608912797030012e-02,8.330119866114467364e-02,1.189213398576392938e-01,7.380324539988059040e-02,7.430932672010459594e-02,1.119498742528067525e-01,7.804706443189850240e-02,7.727361830502013640e-02,9.713070528694192629e-02,8.515901043852881769e-02,8.470328910119329091e-02
2.999999999999999889e-01,1.329392449794461993e-02,2.937986991843037632e-02,3.156400716379494792e-02,2.655161588880577961e-02,2.333716888189241515e-02,2.434897411795877362e-02,3.208449401027913678e-02,2.100269260097375676e-02,2.115909456066994432e-02,3.130603811411025728e-02,2.153935420206910811e-02,2.140721748218366374e-02,2.725127345420009714e-02,2.354284524438544218e-02,2.346267008651062302e-02,7.160242076812226020e-02,9.420973246573369209e-02,1.020721460848257739e-01,1.044742579854827796e-01,7.910752527702538672e-02,8.346540075689365401e-02,1.152102835243841855e-01,7.609417509190684326e-02,7.642444292673389317e-02,1.076758582107640028e-01,8.056457495083427234e-02,7.976262617721088799e-02,9.545239046323363008e-02,8.632064106620264410e-02,8.586545378287818719e-02
3.099999999999999978e-01,1.402818230776136169e-02,3.031406065411092546e-02,3.257731470333458113e-02,2.759599989153116439e-02,2.413011744588418328e-02,2.518451575438090256e-02,3.321967598603518118e-02,2.177398047805264789e-02,2.193291574134675209e-02,3.236350175371094373e-02,2.235627686512530604e-02,2.221603001380371631e-02,2.819822082995450396e-02,2.441121380972474317e-02,2.432650322153643435e-02,7.536034214504060136e-02,9.257059043998661085e-02,1.005621282438391995e-01,1.043440679858834569e-01,7.952328771897722304e-02,8.368133000416053124e-02,1.116159619469216380e-01,7.828292897824554175e-02,7.845605811685762987e-02,1.036000742537566410e-01,8.294100998505371525e-02,8.212181275938276737e-02,9.385249866473557856e-02,8.740586112840907640e-02,8.695456151817551604e-02
3.200000000000000067e-01,1.479847939982930488e-02,3.123247702400803322e-02,3.357624248495768432e-02,2.863812291075731181e-02,2.492757147095295972e-02,2.602264232430566773e-02,3.431867822820719449e-02,2.256713631641792464e-02,2.272711954402289319e-02,3.338034849254518238e-02,2.319675744484615137e-02,2.304829163972021283e-02,2.912923972145384233e-02,2.529028130310945199e-02,2.520109486551910458e-02,7.867088665279398096e-02,9.112220166714712910e-02,9.923448613891239223e-02,1.040817458451250010e-01,7.996257868332340424e-02,8.394043385197415275e-02,1.082123938515573702e-01,8.033010777984767037e-02,8.036627307155969069e-02,9.980060412822953919e-02,8.513593186855927808e-02,8.430954669632537146e-02,9.236261507218765376e-02,8.839827255113386073e-02,8.795364252389746562e-02
