t,p_0_x,p_0_y,p_0_z,p_1_x,p_1_y,p_1_z,p_2_x,p_2_y,p_2_z,p_3_x,p_3_y,p_3_z,p_4_x,p_4_y,p_4_z,pd_4_x,pd_4_y,pd_4_z,error_of_sec_4
2.000000000000000111e-01,3.969107254769240617e-02,2.772627904367054065e-03,1.419784673305823364e-01,1.318195789300399545e-01,1.385757165468208540e-02,2.794809532777521865e-01,2.074842362504224214e-01,2.836850863431756783e-02,4.260405674607186111e-01,2.480341314105037331e-01,4.276562701223266677e-02,5.859999218201666915e-01,2.629051339700241852e-01,5.616351864141282818e-02,7.506978463006256375e-01,1.910672978251212184e-01,5.910404133226792450e-02,7.500000000000000000e-01,7.190137943834358503e-02
2.099999999999999922e-01,4.267116850877297057e-02,2.580954509480514088e-03,1.416153715497961985e-01,1.408614553232737654e-01,1.411899082177984176e-02,2.758712216077811030e-01,2.196267368606631409e-01,2.978274587028166553e-02,4.214901179817618360e-01,2.566413804653551178e-01,4.528604622747568753e-02,5.829562816755102794e-01,2.625587504977358599e-01,5.938069902136763889e-02,7.490101458554360159e-01,1.901592757828106661e-01,6.196329424552057819e-02,7.500000000000000000e-01,7.245228463144844089e-02
2.200000000000000011e-01,4.552888544197057630e-02,2.346954900398069092e-03,1.412208234345470048e-01,1.493700943855565677e-01,1.431135168920066869e-02,2.721983420716170832e-01,2.307984420856694086e-01,3.114474567751245385e-02,4.170158204844998107e-01,2.637817216348135596e-01,4.770289809158406724e-02,5.799777172481058729e-01,2.602479332611444818e-01,6.231140505472362867e-02,7.469020450612002815e-01,1.892084687056774239e-01,6.480860567897367419e-02,7.500000000000000000e-01,7.115081770498529745e-02
2.300000000000000100e-01,4.821781164790989171e-02,2.086215018461312111e-03,1.408268686239942946e-01,1.572186929940420641e-01,1.446312170493859947e-02,2.686149316896889738e-01,2.408392068877253656e-01,3.248199306735640585e-02,4.128215607797621756e-01,2.694107902081131489e-01,5.003433753304654952e-02,5.772199595520408621e-01,2.562199709944029125e-01,6.496663218724352262e-02,7.444797084484934269e-01,1.882150905213026137e-01,6.763933544955826049e-02,7.500000000000000000e-01,6.828089578866609888e-02
2.399999999999999911e-01,5.071377375173292956e-02,1.813524409325392977e-03,1.404594650775267128e-01,1.643557316257428513e-01,1.460012129548971319e-02,2.652395507509728301e-01,2.496960309690092750e-01,3.381789493230465127e-02,4.090569885233942271e-01,2.735774429595634327e-01,5.229841205942627885e-02,5.747975920976824415e-01,2.507547454002069243e-01,6.737095215432883921e-02,7.418591771728878514e-01,1.871793647355869672e-01,7.045484665501798582e-02,7.500000000000000000e-01,6.416862495211460293e-02
2.500000000000000000e-01,5.299749699221558558e-02,1.545209817483849356e-03,1.401436773588205509e-01,1.707488202279730249e-01,1.475043347545073290e-02,2.621819812787806736e-01,2.573443939138182479e-01,3.517691683233023503e-02,4.058533152204356620e-01,2.763618740844321353e-01,5.451782012773179892e-02,5.728173997861127908e-01,2.441483929182026447e-01,6.956676262042811587e-02,7.391919028287629034e-01,1.861015243824628573e-01,7.325450581720951981e-02,7.500000000000000000e-01,5.915955849356694524e-02
2.600000000000000089e-01,5.506014781001745961e-02,1.296532823519417135e-03,1.398996759946464774e-01,1.763980754253661465e-01,1.494000275131133863e-02,2.595256894104536194e-01,2.638053004710894101e-01,3.658052821078679184e-02,4.033018134976960045e-01,2.778802913758007254e-01,5.671518214498922489e-02,5.713581523951264396e-01,2.366886053740571982e-01,7.160468407830380966e-02,7.366332858194065691e-01,1.849818119714626286e-01,7.603768302463229101e-02,7.500000000000000000e-01,5.359023242739692494e-02
2.700000000000000178e-01,5.690276940911089681e-02,1.080147007835251596e-03,1.397414227842631029e-01,1.813320355240443937e-01,1.519009137843416873e-02,2.573227972263805174e-01,2.691407346679764445e-01,3.804517878887383325e-02,4.014482356702956389e-01,2.782790695427858063e-01,5.891054114369581596e-02,5.704632388926846875e-01,2.286459631621779176e-01,7.353679021413390970e-02,7.343217314864589618e-01,1.838204794331549374e-01,7.880375207415608874e-02,7.500000000000000000e-01,4.777942007139187458e-02
2.800000000000000266e-01,5.853377758742327880e-02,9.053735957217767111e-04,1.396769550924159553e-01,1.855971903523999378e-01,1.551602119702261487e-02,2.555978252282823937e-01,2.734338260814472843e-01,3.958130598843286746e-02,4.003024142726714363e-01,2.777026661642605365e-01,6.111885857960217688e-02,5.701485380743228637e-01,2.202317829071462341e-01,7.540875027666762986e-02,7.323698217263772126e-01,1.826177880624616501e-01,8.155209061191404096e-02,7.500000000000000000e-01,4.199257582728576493e-02
2.899999999999999800e-01,5.996360232155592551e-02,7.798645821476503023e-04,1.397110400156410248e-01,1.892434208025360054e-01,1.593104233543664316e-02,2.543584927712871924e-01,2.767790311725925045e-01,4.119824387615197980e-02,3.998485641015122050e-01,2.763174412009365977e-01,6.335712390212054623e-02,5.704099669874584944e-01,2.116788544563324437e-01,7.727130567708533071e-02,7.308792778730511808e-01,1.813740084598673419e-01,8.428208027332960428e-02,7.500000000000000000e-01,3.651214408884804336e-02
2.999999999999999889e-01,6.120481693229042758e-02,7.089870439560604781e-04,1.398449897106708584e-01,1.923240326079721507e-01,1.644491282427994541e-02,2.535959050547251792e-01,2.792807958105585353e-01,4.290265866275954493e-02,4.000474851320011682e-01,2.743038656811302989e-01,6.564204198436215942e-02,5.712262677965641577e-01,2.032256340406614070e-01,7.917561317011370670e-02,7.299391768367017308e-01,1.800894204705353885e-01,8.699310682224603575e-02,7.500000000000000000e-01,3.160433848940263218e-02
3.099999999999999978e-01,6.227206703346552241e-02,6.953415916978967701e-04,1.400767533461452774e-01,1.948941794481421352e-01,1.706261943980100226e-02,2.532873392327126272e-01,2.810434487970432382e-01,4.469707304575067097e-02,4.008453054504929058e-01,2.718258282804634773e-01,6.798653562419870733e-02,5.725661598503424266e-01,1.950622670411420179e-01,8.116495131114710715e-02,7.296182410509194360e-01,1.787643131213441372e-01,8.968456028912688560e-02,7.500000000000000000e-01,2.745219730673583922e-02
3.200000000000000067e-01,6.318214263235701067e-02,7.387143463606594615e-04,1.404010127639860883e-01,1.970115694229723768e-01,1.778428200325213662e-02,2.533971300781968639e-01,2.821722937821776744e-01,4.658007839301669950e-02,4.021750530704074622e-01,2.690314318900294266e-01,7.039952994405575259e-02,5.743869213544386954e-01,1.873348351895391395e-01,8.327319519122229619e-02,7.299566181015941790e-01,1.773989845558568423e-01,9.235583510829659115e-02,7.500000000000000000e-01,2.414441205752209524e-02
3.300000000000000155e-01,6.395410742086178602e-02,8.361386819079495367e-04,1.408093163638731160e-01,1.987374272527543395e-01,1.860522916248849232e-02,2.538775942804335495e-01,2.827748810490030018e-01,4.854661132581838262e-02,4.039580962889384175e-01,2.660541786591146818e-01,7.288572798592947433e-02,5.766331599674496822e-01,1.801498439112166339e-01,8.552355088340925227e-02,7.309597217981081974e-01,1.759937419672408521e-01,9.500633025419016886e-02,7.500000000000000000e-01,2.167322038759038685e-02
3.400000000000000244e-01,6.460947187644555667e-02,9.820425696325744275e-04,1.412902381056973522e-01,2.001376212270513377e-01,1.951620843057306348e-02,2.546699584706328956e-01,2.829623686675630245e-01,5.058824717251616393e-02,4.061054424220631454e-01,2.630143592935930141e-01,7.544531892593983602e-02,5.792358998036445383e-01,1.735782742979453952e-01,8.792739352765621685e-02,7.325942231064411780e-01,1.745489015291502577e-01,9.763544937658150125e-02,7.500000000000000000e-01,1.995368474383002466e-02
3.500000000000000333e-01,6.517239358147762507e-02,1.168450540218235294e-03,1.418295465752847373e-01,2.012838545998799633e-01,2.050368241928719748e-02,2.557052486837764205e-01,2.828508727624814423e-01,5.269346613514670763e-02,4.085188712475823491e-01,2.600204553284722331e-01,7.807357787195130794e-02,5.821120358022231489e-01,1.676586988630599795e-01,9.048308156724260698e-02,7.347860652952132865e-01,1.730647883245882701e-01,1.002426009347595903e-01,7.500000000000000000e-01,1.886631471041708141e-02
3.599999999999999867e-01,6.566985630228752702e-02,1.385217122757757303e-03,1.424103855220031356e-01,2.022547311302637929e-01,2.155017909692946015e-02,2.569051692362569472e-01,2.825625842072289062e-01,5.484787612555463987e-02,4.110919657441125530e-01,2.571703187623853304e-01,8.076036817448434268e-02,5.851642438449312644e-01,1.623992397755692207e-01,9.317472578111307691e-02,7.374203855481146208e-01,1.715417362727648387e-01,1.028271983306226489e-01,7.500000000000000000e-01,1.830306445047805153e-02
3.699999999999999956e-01,6.611827589298045760e-02,1.626539952860330332e-03,1.430223473766086550e-01,2.030983601392296889e-01,2.264643904409365319e-02,2.582208851314544140e-01,2.821755147917147655e-01,5.704548648172608899e-02,4.137585646551134033e-01,2.545324568064921689e-01,8.350544610531322742e-02,5.883356671733429577e-01,1.578188949286623288e-01,9.600268074789994333e-02,7.404349001124466145e-01,1.699800880539663328e-01,1.053886600406602619e-01,7.500000000000000000e-01,1.809647372760617851e-02
3.800000000000000044e-01,6.653296707169591151e-02,1.887002901667711452e-03,1.436555042115831848e-01,2.038598776617558117e-01,2.378413858813267084e-02,2.596062520088183723e-01,2.817647843408064290e-01,5.928181946329463825e-02,4.164565924618292003e-01,2.521784763783978534e-01,8.631019729283891107e-02,5.915724155012996865e-01,1.539533980483121511e-01,9.896921689923469934e-02,7.437705033826931267e-01,1.683801950324537444e-01,1.079264097467938638e-01,7.500000000000000000e-01,1.808785236104717281e-02
3.900000000000000133e-01,6.693593235317865653e-02,2.157754061464222176e-03,1.442953726675096915e-01,2.046031970326651073e-01,2.494827789665757592e-02,2.609968924863422246e-01,2.814285617006189177e-01,6.154602566252097284e-02,4.191030389634873288e-01,2.501828129194533790e-01,8.916555873324520654e-02,5.947933010837080925e-01,1.508094422077956853e-01,1.020549121318006236e-01,7.473139228269197742e-01,1.667424171774075370e-01,1.104398764660455279e-01,7.500000000000000000e-01,1.820390971326158597e-02
4.000000000000000222e-01,6.734608719275292366e-02,2.430986773661910141e-03,1.449294059209940699e-01,2.053830821858360911e-01,2.612542077990871042e-02,2.623382679645825943e-01,2.812483142285624460e-01,6.382831384042196576e-02,4.216297897995818778e-01,2.485997347890886999e-01,9.206185018100200568e-02,5.979295162289710586e-01,1.483768313503118497e-01,1.052381067026793154e-01,7.509608212266165594e-01,1.650671229819356545e-01,1.129284946790071048e-01,7.500000000000000000e-01,1.840193140419275550e-02
4.100000000000000311e-01,6.777919040437059561e-02,2.700001226393404508e-03,1.455470690767857178e-01,2.062447748867059505e-01,2.730383330770385503e-02,2.635858345217225174e-01,2.812879936749271281e-01,6.611998309656534623e-02,4.239834136525197916e-01,2.474624121419399803e-01,9.498886098345966922e-02,6.009247533064103752e-01,1.466266997155691587e-01,1.084953227470122211e-01,7.546174264551692712e-01,1.633546893801645916e-01,1.153917044570793582e-01,7.500000000000000000e-01,1.867368056861467077e-02
4.199999999999999845e-01,6.824775470714938841e-02,2.959229536420793921e-03,1.461398888761633597e-01,2.072235307197579091e-01,2.847356554382544924e-02,2.647051080129124156e-01,2.815931558858271178e-01,6.841343317672309021e-02,4.261249035457830292e-01,2.467819041799000912e-01,9.793594199133473510e-02,6.037352783392055944e-01,1.455098129168294896e-01,1.118016485967444351e-01,7.582017761607123818e-01,1.616055016624303731e-01,1.178289515884539118e-01,7.500000000000000000e-01,1.904386278409826369e-02
4.299999999999999933e-01,6.876095068171680924e-02,3.204248836926921681e-03,1.467014950712580701e-01,2.083441473673273703e-01,2.962651652023664400e-02,2.656717158936503509e-01,2.821901189195333837e-01,7.070218703349748224e-02,4.280294879083248460e-01,2.465461803919859474e-01,1.008921275143700169e-01,6.063300591119422656e-01,1.449550795954926141e-01,1.151311256998125698e-01,7.616447122995763097e-01,1.598199533885902301e-01,1.202396877028082262e-01,7.500000000000000000e-01,1.956172802088494006e-02
4.400000000000000022e-01,6.932451488190020938e-02,3.431802216321553842e-03,1.472276674117733164e-01,2.096205493960782429e-01,3.075651536205765979e-02,2.664714973693715905e-01,2.830852357615040171e-01,7.298095220083761214e-02,4.296865960868091472e-01,2.467192619353213989e-01,1.038463052161440192e-01,6.086910138192586084e-01,1.448683596981340527e-01,1.184571651695766892e-01,7.648907181782991227e-01,1.579984462994730166e-01,1.226233703946867648e-01,7.500000000000000000e-01,2.028521451702997025e-02
